pH,Pav,Conductivity,N,P,K
2.09, 0.02239, 1.1642108, 43.65079365079365, 2.295918367346939, 0.0
13.19, 0.0219466, 1.0409607, 27.77777777777778, 2.5510204081632653, 80.21390374331551
14.49, 0.0238019, 1.6392638, 31.746031746031747, 0.25510204081632654, 294.11764705882354
14.70, 0.0623601, 4.4448912, 7.936507936507937, 0.25510204081632654, 454.54545454545456
14.04, 0.018688, 1.4399939, 23.80952380952381, 1.7857142857142858, 187.1657754010695
13.52, 0.0324026, 1.550094, 19.841269841269842, 2.806122448979592, 106.95187165775401
13.11, 0.0140638, 0.7141443, 15.873015873015873, 3.316326530612245, 80.21390374331551
14.56, 0.0268386, 1.7672504, 27.77777777777778, 0.7653061224489797, 267.379679144385
14.53, 0.0368044, 2.7468238, 19.841269841269842, 0.5102040816326531, 347.59358288770056
13.68, 0.0447771, 2.8488029, 43.65079365079365, 0.0, 240.64171122994654
13.44, 0.0237573, 0.9926848, 39.682539682539684, 1.5306122448979593, 106.95187165775401
14.63, 0.0319339, 2.2544625, 23.80952380952381, 0.7653061224489797, 294.11764705882354
13.82, 0.0366279, 2.0650377, 15.873015873015873, 2.5510204081632653, 160.42780748663102
10.78, 0.0141176, 0.5684457, 47.61904761904762, 1.5306122448979593, 53.475935828877006
1.93, 0.0285583, 0.9371767, 71.42857142857143, 0.5102040816326531, 0.0
14.68, 0.0239362, 1.6686783, 15.873015873015873, 0.7653061224489797, 347.59358288770056
13.65, 0.0169212, 1.0002365, 43.65079365079365, 1.2755102040816326, 106.95187165775401
14.64, 0.0214526, 1.6754436, 3.9682539682539684, 0.7653061224489797, 427.80748663101605
13.91, 0.0676928, 4.2608407, 0.0, 2.0408163265306123, 320.85561497326205
11.84, 0.0103509, 0.5567991, 3.9682539682539684, 4.591836734693878, 26.737967914438503
2.05, 0.0166261, 1.2328607, 51.58730158730159, 1.7857142857142858, 0.0
1.94, 0.0173498, 0.6254998, 47.61904761904762, 1.7857142857142858, 26.737967914438503
12.90, 0.0121547, 0.6655287, 63.492063492063494, 0.0, 106.95187165775401
14.31, 0.0444439, 2.5977979, 7.936507936507937, 1.7857142857142858, 294.11764705882354
2.03, 0.0178441, 0.9392266, 63.492063492063494, 0.7653061224489797, 26.737967914438503
13.91, 0.045193, 2.7190361, 19.841269841269842, 0.0, 401.06951871657753
13.92, 0.0482652, 3.0016148, 11.904761904761905, 0.0, 454.54545454545456
13.64, 0.0369231, 1.9052186, 15.873015873015873, 2.806122448979592, 133.6898395721925
13.86, 0.0245782, 1.505921, 55.55555555555556, 0.5102040816326531, 106.95187165775401
14.47, 0.0351246, 2.5937829, 35.714285714285715, 0.5102040816326531, 240.64171122994654
13.33, 0.0311707, 1.6141409, 0.0, 4.081632653061225, 106.95187165775401
13.14, 0.0155462, 0.8730147, 55.55555555555556, 0.25510204081632654, 133.6898395721925
14.64, 0.0366797, 2.5461576, 19.841269841269842, 1.0204081632653061, 294.11764705882354
14.30, 0.0295848, 2.2500633, 43.65079365079365, 0.5102040816326531, 187.1657754010695
13.17, 0.0229895, 1.0486102, 0.0, 4.336734693877551, 80.21390374331551
2.42, 0.0087242, 0.4296183, 19.841269841269842, 3.826530612244898, 0.0
14.78, 0.0391371, 2.9061882, 3.9682539682539684, 1.0204081632653061, 401.06951871657753
2.51, 0.0097322, 0.3993848, 15.873015873015873, 4.081632653061225, 0.0
13.41, 0.0332586, 1.7458407, 0.0, 3.826530612244898, 133.6898395721925
14.16, 0.0365731, 2.2817891, 19.841269841269842, 1.7857142857142858, 213.90374331550802
14.47, 0.0300633, 2.0167909, 31.746031746031747, 0.7653061224489797, 240.64171122994654
13.94, 0.0462032, 2.2144543, 27.77777777777778, 1.7857142857142858, 160.42780748663102
2.16, 0.017354, 1.3441602, 35.714285714285715, 2.806122448979592, 0.0
14.80, 0.0542673, 3.619891, 23.80952380952381, 0.5102040816326531, 320.85561497326205
13.58, 0.0192832, 1.1357814, 51.58730158730159, 0.25510204081632654, 160.42780748663102
12.77, 0.0270829, 1.2386208, 3.9682539682539684, 4.336734693877551, 53.475935828877006
13.35, 0.0202326, 0.945089, 51.58730158730159, 1.0204081632653061, 80.21390374331551
13.95, 0.0284772, 1.527857, 31.746031746031747, 1.5306122448979593, 160.42780748663102
2.20, 0.0116236, 0.7684339, 31.746031746031747, 3.0612244897959187, 0.0
12.63, 0.0209532, 0.8149731, 27.77777777777778, 2.806122448979592, 53.475935828877006
13.73, 0.0456468, 3.0473169, 39.682539682539684, 0.0, 267.379679144385
13.71, 0.0256165, 1.4212194, 23.80952380952381, 2.295918367346939, 133.6898395721925
14.15, 0.0242623, 1.5946511, 39.682539682539684, 1.0204081632653061, 160.42780748663102
13.79, 0.0195644, 1.1689974, 51.58730158730159, 0.7653061224489797, 106.95187165775401
2.12, 0.0170535, 1.0794654, 39.682539682539684, 2.5510204081632653, 0.0
13.19, 0.0567773, 2.6417774, 3.9682539682539684, 3.826530612244898, 106.95187165775401
5.53, 0.012013, 0.5332845, 51.58730158730159, 1.2755102040816326, 53.475935828877006
13.49, 0.0327479, 1.886101, 0.0, 3.5714285714285716, 160.42780748663102
13.53, 0.0200095, 1.0788133, 11.904761904761905, 3.316326530612245, 106.95187165775401
14.67, 0.0642718, 4.1139777, 11.904761904761905, 0.25510204081632654, 427.80748663101605
14.33, 0.039766, 2.5188889, 11.904761904761905, 1.5306122448979593, 294.11764705882354
14.09, 0.0287632, 1.7822559, 11.904761904761905, 2.295918367346939, 213.90374331550802
13.84, 0.0220078, 1.5156118, 47.61904761904762, 0.25510204081632654, 187.1657754010695
14.04, 0.0412856, 2.8008927, 3.9682539682539684, 2.5510204081632653, 240.64171122994654
14.40, 0.0336275, 2.0989944, 35.714285714285715, 0.7653061224489797, 213.90374331550802
14.01, 0.069298, 3.9563942, 0.0, 0.5102040816326531, 481.2834224598931
13.09, 0.0252793, 1.0866194, 43.65079365079365, 1.7857142857142858, 53.475935828877006
14.04, 0.0464948, 2.8299295, 7.936507936507937, 2.5510204081632653, 213.90374331550802
13.92, 0.0444918, 2.6206758, 3.9682539682539684, 3.0612244897959187, 187.1657754010695
13.68, 0.0263643, 1.4725235, 27.77777777777778, 2.0408163265306123, 133.6898395721925
14.24, 0.0412123, 2.6926706, 11.904761904761905, 1.7857142857142858, 267.379679144385
12.30, 0.0122723, 0.7058288, 67.46031746031747, 0.0, 80.21390374331551
1.78, 0.0185735, 0.665848, 43.65079365079365, 2.0408163265306123, 26.737967914438503
14.11, 0.0720899, 4.5152251, 0.0, 0.0, 534.75935828877
13.88, 0.035886, 2.5623923, 3.9682539682539684, 0.0, 508.02139037433153
14.34, 0.0199196, 0.9994628, 35.714285714285715, 1.0204081632653061, 187.1657754010695
13.01, 0.002434, 0.0172687, 11.904761904761905, 3.5714285714285716, 80.21390374331551
14.66, 0.0331314, 2.206198, 11.904761904761905, 1.2755102040816326, 320.85561497326205
9.19, 0.0090471, 0.3442591, 19.841269841269842, 3.5714285714285716, 26.737967914438503
13.84, 0.0464906, 2.7645093, 27.77777777777778, 0.0, 347.59358288770056
13.30, 0.016833, 0.8958985, 55.55555555555556, 0.7653061224489797, 80.21390374331551
12.02, 0.0136458, 0.6019385, 31.746031746031747, 2.5510204081632653, 53.475935828877006
14.42, 0.0311035, 2.3217693, 35.714285714285715, 0.25510204081632654, 267.379679144385
14.32, 0.0262236, 1.9887132, 15.873015873015873, 0.5102040816326531, 374.331550802139
14.69, 0.047003, 3.1286477, 15.873015873015873, 1.0204081632653061, 320.85561497326205
2.04, 0.0159508, 0.8537114, 71.42857142857143, 0.0, 53.475935828877006
